date,win,podium,boatname,delta,ref,grp
2013-09-01,330.35,333.92,M8+,-3.569999999999993,M8+,M8+vM8+
2013-09-01,451.34,456.88,W1x,-126.52999999999997,M8+,M8+vW1x
2013-09-01,411.82,415.9,W2x,-85.54999999999995,M8+,M8+vW2x
2013-09-01,362.14,369.34,W8+,-38.98999999999995,M8+,M8+vW8+
2014-08-29,374.36,383.31,W4-,-8.949999999999989,W4-,W4-vW4-
2014-08-30,365.36,365.79,LM2x,-25.120000000000005,M4-,M4-vLM2x
2014-08-30,408.56,413.4,LW2x,-68.32,M4-,M4-vLW2x
2014-08-30,369.34,376.85,M2-,-29.099999999999966,M4-,M4-vM2-
2014-08-30,340.24,343.47,M4-,0,M4-,M4-vM4-
2014-08-30,332.26,336.97,M4x,7.980000000000018,M4-,M4-vM4x
2014-08-30,410.61,414.79,W2-,-70.37,M4-,M4-vW2-
2014-08-30,366.84,372.03,W4x,-26.599999999999966,M4-,M4-vW4x
2014-08-31,397.12,404.31,M1x,-80.19999999999999,M8+,M8+vM1x
2014-08-31,360.52,364.43,M2x,-40.31999999999999,M8+,M8+vM2x
2014-08-31,324.11,326.9,M8+,-2.7899999999999636,M8+,M8+vM8+
2014-08-31,434.95,442.57,W1x,-118.45999999999998,M8+,M8+vW1x
2014-08-31,398.04,401.71,W2x,-77.59999999999997,M8+,M8+vW2x
2014-08-31,356.83,360.52,W8+,-36.40999999999997,M8+,M8+vW8+
2015-09-04,385.22,395.56,W4-,-10.339999999999975,W4-,W4-vW4-
2015-09-05,373.38,375.62,LM2x,-28.840000000000032,M4-,M4-vLM2x
2015-09-05,413.01,415.79,LW2x,-69.01000000000005,M4-,M4-vLW2x
2015-09-05,375.83,385.36,M2-,-38.58000000000004,M4-,M4-vM2-
2015-09-05,346.78,349,M4-,-2.2200000000000273,M4-,M4-vM4-
2015-09-05,353.22,356.34,M4x,-9.560000000000002,M4-,M4-vM4x
2015-09-05,412.99,420.55,W2-,-73.77000000000004,M4-,M4-vW2-
2015-09-05,387.07,389.69,W4x,-42.910000000000025,M4-,M4-vW4x
2015-09-06,414.76,417.64,M1x,-81.45999999999998,M8+,M8+vM1x
2015-09-06,363.33,366.73,M2x,-30.55000000000001,M8+,M8+vM2x
2015-09-06,336.18,338.09,M8+,-1.9099999999999682,M8+,M8+vM8+
